index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
499,2011.0,The Art of Fielding,Chad Harbach,English,Intermediate,3.99,81712,popular_fiction,324.37,194.622,1.99,551,"Amazon Digital Services,  Inc.",4401,English
500,1964.0,A Moveable Feast,Ernest Hemingway,English,Excellent,4.04,69992,popular_fiction,813.37,488.022,4.99,551,Penguin Group (USA) LLC,4401,English
501,2006.0,Fablehaven,Brandon Mull,English,Excellent,4.08,99390,popular_fiction,1470.26,882.156,9.02,553,Random House LLC,4401,English
502,2000.0,The Wide Window,"Lemony Snicket, Brett Helquist",English,Intermediate,3.91,118624,popular_fiction,161.37,96.822,0.99,554,"Amazon Digital Services,  Inc.",4401,English
503,2001.0,Grave Peril,Jim Butcher,English,Excellent,4.18,97736,nonfiction,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374,English
504,2007.0,Einstein. His Life and Universe,Walter Isaacson,English,Excellent,4.08,71156,nonfiction,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374,English
505,2011.0,Effortless,S.C. Stephens,English,Excellent,4.37,83085,popular_fiction,160.38,96.228,0.99,558,"Amazon Digital Services,  Inc.",4374,English
506,1998.0,The Street Lawyer,John Grisham,English,Intermediate,3.81,80577,popular_fiction,320.39,192.234,1.99,561,Random House LLC,4347,English
507,1976.0,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,English,Intermediate,3.79,92980,nonfiction,642.39,385.434,3.99,561,Hachette Book Group,4347,English
508,2009.0,Pride and Prejudice and Zombies,"Seth Grahame-Smith, Jane Austen",English,Novice,3.28,103995,popular_fiction,615.02,369.012,3.82,562,"Amazon Digital Services,  Inc.",4347,English
509,2013.0,Lets Explore Diabetes with Owls,David Sedaris,English,Intermediate,3.8,81616,popular_fiction,478.4,287.04,2.99,565,Macmillan,4320,English
510,1868.0,Ð˜Ð´Ð¸Ð¾Ñ‚,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",English,Excellent,4.18,74642,fiction,1438.4,863.04,8.99,565,Penguin Group (USA) LLC,4320,English
511,1987.0,Dirk Gently's Holistic Detective Agency,Douglas Adams,English,Intermediate,3.97,89569,nonfiction,478.4,0.0,2.99,566,"Amazon Digital Services,  Inc.",4320,English
